sample,generation_time_sec,num_nodes,num_edges,path_length,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,repair_applied,total_repairs,lock_key_repairs,progression_repairs,wave3_repairs,rule_applied,rule_skipped,puzzle_count,item_count,switch_count,stair_count,gate_variety,has_switch_feature,has_stair_feature,has_shortcut,has_cycle,has_wave3_repair
58,2.5566396713256836,11,22,4,0.45454545454545453,1.0,0.48670909090909087,0.3134545454545455,0.4,0.0,0.25,0.4,0.0,1.0,0.0,0,0,0,0,11,2,1,3,0,0,0.2,0.0,0.0,0.0,1.0,0.0
59,2.678224802017212,12,23,5,0.5,1.0,0.5006795783926219,0.3516231884057971,0.3333333333333333,0.0,0.2,0.45454545454545453,0.0,1.0,0.0,0,0,0,0,13,4,3,3,0,0,0.4,0.0,0.0,0.0,1.0,0.0
60,2.157949924468994,9,15,7,0.8888888888888888,0.5,0.5290674603174603,0.3801111111111111,0.25,0.0,0.14285714285714285,0.875,0.0,1.0,0.0,0,0,0,0,7,2,1,2,0,2,0.6,0.0,1.0,0.0,1.0,0.0
61,3.2499146461486816,13,26,5,0.46153846153846156,1.0,0.34947179487179486,0.33220512820512826,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,12,5,5,1,0,0,0.2,0.0,0.0,0.0,1.0,0.0
62,3.1837387084960938,13,26,5,0.46153846153846156,1.0,0.18668717948717947,0.33082051282051284,0.3333333333333333,0.0,0.0,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,14,2,1,2,0,2,0.4,0.0,1.0,0.0,1.0,0.0
63,3.207561731338501,13,25,5,0.46153846153846156,1.0,0.4878194871794872,0.31817435897435903,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,13,5,2,3,0,4,0.4,0.0,1.0,0.0,1.0,0.0
64,3.191502809524536,13,25,5,0.46153846153846156,1.0,0.4677948717948718,0.265374358974359,0.3333333333333333,0.0,0.0,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,11,4,4,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0
65,3.2629501819610596,15,29,6,0.4666666666666667,1.0,0.4892604269293925,0.2904696223316913,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,12,6,5,4,0,0,0.2,0.0,0.0,0.0,1.0,0.0
66,3.1904139518737793,13,26,5,0.46153846153846156,1.0,0.4894717948717949,0.2891282051282052,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,13,3,5,1,0,0,0.2,0.0,0.0,0.0,1.0,0.0
67,3.425952196121216,13,25,5,0.46153846153846156,1.0,0.29397128205128203,0.3373128205128206,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,12,6,0,3,0,2,0.4,0.0,1.0,0.0,1.0,0.0
